Indicator,Disaggregations,Number of disaggregations
#1-1,Soziodemografische Merkmale,1
#1-2-1,Geschlecht,1
#1-2-2,Art der Hilfe,1
#1-3,SGB-II-Leistungsberechtigte,1
#1-4,Leistungsbeziehende,1
#10-2,Arbeitgeber (AG),1
#10-4,Raum,1
#10-5,Erwerbstätigenquote,1
#11-1,Reisezeit,1
#13-1,Sektor,1
#15-1,Raum,1
#15-2,Gruppe,1
#16-3,Gebiet,1
#3-1,Raum,1
#3-2,Raum/Geschlecht,1
#4-1,Altersgruppe,1
#4-2,Art des Abschlusses,1
#4-5,Kontinente,1
#4-7,Region,1
#4-8,Raum,1
#4-9,Raum,1
#5-1-1,Geschlecht,1
#5-1-2,Raum,1
#7-1,Produktivitätsindex,1
#8-8,Erwerbstätigenquote,1
#9-2,Ausbaustand Mobilfunk LTE,1
#9-4,Ausgaben für Forschung und Entwicklung,1
#9-5,Patentanmeldungen,1
