Year,Art des Abschlusses,Value
2008,ohne ESA (ohne Migrationshintergrund),8.2
2017,ohne ESA (ohne Migrationshintergrund),NaN
2008,ohne ESA (mit Migrationshintergrund),13.3
2017,ohne ESA (mit Migrationshintergrund),NaN
2008,ESA (ohne Migrationshintergrund),26.8
2017,ESA (ohne Migrationshintergrund),14.6
2008,ESA (mit Migrationshintergrund),43.3
2017,ESA (mit Migrationshintergrund),25.5
2008,MSA (ohne Migrationshintergrund),36.8
2017,MSA (ohne Migrationshintergrund),NaN
2008,MSA (mit Migrationshintergrund),31.9
2017,MSA (mit Migrationshintergrund),NaN
2008,Fachhochschulreife (ohne Migrationshintergrund),1.6
2017,Fachhochschulreife (ohne Migrationshintergrund),NaN
2008,Fachhochschulreife (mit Migrationshintergrund),1.5
2017,Fachhochschulreife (mit Migrationshintergrund),NaN
2008,Hochschulreife (ohne Migrationshintergrund),26.6
2017,Hochschulreife (ohne Migrationshintergrund),50.7
2008,Hochschulreife (mit Migrationshintergrund),10.2
2017,Hochschulreife (mit Migrationshintergrund),33.2
