Year,Raum,Value
2005,Schleswig-Holstein,8539
2006,Schleswig-Holstein,8464
2007,Schleswig-Holstein,8462
2008,Schleswig-Holstein,8393
2009,Schleswig-Holstein,8446
2010,Schleswig-Holstein,7734
2011,Schleswig-Holstein,7673
2012,Schleswig-Holstein,7360
2013,Schleswig-Holstein,6971
2014,Schleswig-Holstein,6908
2015,Schleswig-Holstein,6692
2016,Schleswig-Holstein,6646
2017,Schleswig-Holstein,6333
2018,Schleswig-Holstein,6264
2019,Schleswig-Holstein,6163
2020,Schleswig-Holstein,5857
2021,Schleswig-Holstein,5949
2022,Schleswig-Holstein,7384
2023,Schleswig-Holstein,6423
2024,Schleswig-Holstein,6913
2005,Bund,7622
2006,Bund,7525
2007,Bund,7527
2008,Bund,7343
2009,Bund,7293
2010,Bund,7163
2011,Bund,7323
2012,Bund,7219
2013,Bund,7266
2014,Bund,7337
2015,Bund,7301
2016,Bund,7161
2017,Bund,6764
2018,Bund,6513
2019,Bund,6349
2020,Bund,6209
2021,Bund,5894
2022,Bund,6491
2023,Bund,6688
2024,Bund,6555
