Year,Soziodemografische Merkmale,Value
2005,Insgesamt SH,14.5
2006,Insgesamt SH,14.1
2007,Insgesamt SH,13.9
2008,Insgesamt SH,14.9
2009,Insgesamt SH,15.8
2010,Insgesamt SH,15.2
2011,Insgesamt SH,15.2
2012,Insgesamt SH,15.4
2013,Insgesamt SH,15.6
2014,Insgesamt SH,15.4
2015,Insgesamt SH,15.7
2016,Insgesamt SH,16.2
2017,Insgesamt SH,15.8
2018,Insgesamt SH,15.9
2019,Insgesamt SH,15.9
2020,Insgesamt SH,16.5
2021,Insgesamt SH,16.2
2022,Insgesamt SH,16.4
2023,Insgesamt SH,16.7
2024,Insgesamt SH,17.3
2005,Alleinerziehende mit Kind/ern SH,38.4
2006,Alleinerziehende mit Kind/ern SH,42.9
2007,Alleinerziehende mit Kind/ern SH,41.9
2008,Alleinerziehende mit Kind/ern SH,41.1
2009,Alleinerziehende mit Kind/ern SH,42
2010,Alleinerziehende mit Kind/ern SH,40.5
2011,Alleinerziehende mit Kind/ern SH,44.8
2012,Alleinerziehende mit Kind/ern SH,42.8
2013,Alleinerziehende mit Kind/ern SH,50.9
2014,Alleinerziehende mit Kind/ern SH,46.9
2015,Alleinerziehende mit Kind/ern SH,46.1
2016,Alleinerziehende mit Kind/ern SH,42.9
2017,Alleinerziehende mit Kind/ern SH,35.8
2018,Alleinerziehende mit Kind/ern SH,41
2019,Alleinerziehende mit Kind/ern SH,43.9
2020,Alleinerziehende mit Kind/ern SH,41.5
2021,Alleinerziehende mit Kind/ern SH,38.9
2022,Alleinerziehende mit Kind/ern SH,40.6
2023,Alleinerziehende mit Kind/ern SH,39.5
2024,Alleinerziehende mit Kind/ern SH,43.1
2005,Paar mit drei oder mehr Kindern SH,27.7
2006,Paar mit drei oder mehr Kindern SH,28.1
2007,Paar mit drei oder mehr Kindern SH,23.3
2008,Paar mit drei oder mehr Kindern SH,24.8
2009,Paar mit drei oder mehr Kindern SH,25.5
2010,Paar mit drei oder mehr Kindern SH,22.2
2011,Paar mit drei oder mehr Kindern SH,21.7
2012,Paar mit drei oder mehr Kindern SH,19.6
2013,Paar mit drei oder mehr Kindern SH,21.5
2014,Paar mit drei oder mehr Kindern SH,24.5
2015,Paar mit drei oder mehr Kindern SH,27
2016,Paar mit drei oder mehr Kindern SH,31.3
2017,Paar mit drei oder mehr Kindern SH,34.9
2018,Paar mit drei oder mehr Kindern SH,31.3
2019,Paar mit drei oder mehr Kindern SH,36
2020,Paar mit drei oder mehr Kindern SH,30.8
2021,Paar mit drei oder mehr Kindern SH,27.9
2022,Paar mit drei oder mehr Kindern SH,33.5
2023,Paar mit drei oder mehr Kindern SH,30.4
2024,Paar mit drei oder mehr Kindern SH,25.9
2005,Erwerbslose SH,49.8
2006,Erwerbslose SH,51.4
2007,Erwerbslose SH,53.9
2008,Erwerbslose SH,55.3
2009,Erwerbslose SH,51.9
2010,Erwerbslose SH,55.9
2011,Erwerbslose SH,58.6
2012,Erwerbslose SH,57.4
2013,Erwerbslose SH,61.2
2014,Erwerbslose SH,57.7
2015,Erwerbslose SH,64.7
2016,Erwerbslose SH,55.6
2017,Erwerbslose SH,59.2
2018,Erwerbslose SH,55.3
2019,Erwerbslose SH,56.8
2020,Erwerbslose SH,55
2021,Erwerbslose SH,49.1
2022,Erwerbslose SH,49.5
2023,Erwerbslose SH,47.2
2024,Erwerbslose SH,47.8
2005,Geringqualifizierte SH,26
2006,Geringqualifizierte SH,25.4
2007,Geringqualifizierte SH,26.7
